Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
16,2675051,RES2,6.0,60881402,0.0,6088,11925
72,3013441,RES1,6.0,60880303,0.0,6088,4076
97,1749771,RES2,6.0,60040123,0.0,6004,7608
99,2949401,RES1,6.0,60882001,0.0,6088,5054
126,2898501,RES2,6.0,60882803,0.0,6088,507
214,2416331,RES4,12.0,50610109,0.0,5061,3505
241,20367071,RES1,6.0,31400000,1.0,3140,4018
253,1512961,RES1,6.0,60290103,0.0,6029,9220
282,3146811,RES2,6.0,60882906,0.0,6088,2044
314,2789101,RES1,6.0,60270113,0.0,6027,2405
321,20275111,RES1,3.0,30950101,0.0,3095,3622
360,2962151,RES2,18.0,60883301,0.0,6088,1895
412,3138371,RES1,3.0,60880506,,6088,438
433,2548471,RES1,3.0,50610110,0.0,5061,1980
454,20457391,RES2,9.0,31590000,1.0,3159,22607
526,3152561,RES2,6.0,60883601,0.0,6088,21212
554,8132301,RES1,6.0,91600103,1.0,9160,2848
562,20253861,RES1,6.0,30950102,0.0,3095,4675
577,3026641,RES2,12.0,60880401,0.0,6088,23891
588,8080291,RES1,6.0,91220101,0.0,9122,5597
590,4112251,RES2,6.0,41120106,1.0,4112,18091
642,2860871,RES1,6.0,60880702,0.0,6088,4147
680,3071161,RES1,6.0,60881902,0.0,6088,6702
742,1626491,RES1,6.0,60290116,0.0,6029,6458
750,1822501,RES2,9.0,60040106,1.0,6004,2440
763,1484321,RES1,6.0,60290103,0.0,6029,1259
789,8148221,RES1,3.0,91220101,1.0,9122,9
812,2775351,RES2,6.0,60882702,0.0,6088,8174
819,2971441,RES2WE,6.0,60880301,0.0,6088,29380
849,2619651,RES2,6.0,60880404,0.0,6088,6785
854,8261841,RES2,9.0,92250107,0.0,9225,18084
858,37487491,RES2,9.0,26910401,1.0,2691,22091
859,2647051,RES1,6.0,60882503,0.0,6088,2013
870,2641151,RES1,6.0,60270107,0.0,6027,5505
879,2712921,RES2,9.0,61580000,0.0,6158,21625
959,1661281,RES1,6.0,60290102,0.0,6029,948
994,8096421,RES2,6.0,92250104,,9225,8287
1084,3017921,RES1,6.0,60881202,0.0,6088,9541
1196,1725311,RES1,6.0,60290111,0.0,6029,15344
1227,2737091,RES2,6.0,60882602,0.0,6088,8388
1236,2352501,RES1,6.0,50610105,0.0,5061,4266
1238,2679421,RES1,6.0,60882703,0.0,6088,2553
1293,20191661,RES1,6.0,31900102,1.0,3190,2342
1313,20341441,RES4,12.0,32170000,1.0,3217,31571
1373,2981241,RES2,9.0,60880605,0.0,6088,14992
