Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
59,2810011,RES1,3.0,60881604,0.0,6088,0
87,1788211,RES1,6.0,60290102,0.0,6029,965
90,81926451,RES1,3.0,60883401,0.0,6088,1688
167,1756831,RES1,6.0,60290101,0.0,6029,2094
270,1814191,RES1,6.0,60290103,0.0,6029,5967
295,83606681,RES11,9.0,60040123,,6004,95
304,4278421,RES2,6.0,40940000,0.0,4094,5684
322,1517641,RES2,9.0,60290111,1.0,6029,7403
339,20158501,RES2,12.0,32980000,1.0,3298,30752
353,2880691,RES1,3.0,60883402,0.0,6088,701
374,2857301,RES2,6.0,60880304,0.0,6088,9167
385,2839721,RES1,6.0,61610105,0.0,6161,4373
386,2698131,RES1,6.0,60881603,0.0,6088,6953
421,1651501,RES1,6.0,60290121,0.0,6029,1234
437,2987231,RES2,6.0,60882202,0.0,6088,457
450,2829161,RES2,6.0,60880502,0.0,6088,12418
467,1670091,RES11,9.0,60290101,0.0,6029,20140
518,3049731,RES11,9.0,60883201,1.0,6088,15172
543,83467121,RES1,6.0,61050102,,6105,1564
589,2979041,RES1,6.0,60882905,0.0,6088,5330
619,2745011,RES2,6.0,61230105,1.0,6123,3812
627,2623351,RES1,6.0,60881901,0.0,6088,2031
635,2789251,RES11,9.0,60882401,0.0,6088,7594
854,1475411,RES2,9.0,60290104,0.0,6029,32719
855,2635671,RES1,6.0,60880402,0.0,6088,414
1049,4576001,RES2,6.0,40940000,0.0,4094,5240
1075,1671921,RES1,6.0,60290102,0.0,6029,2554
1144,2599381,RES1,6.0,60882502,0.0,6088,0
1190,1483721,RES1,6.0,60290110,0.0,6029,7201
1201,3051421,RES1,6.0,60880401,0.0,6088,2144
1230,82869641,RES1,6.0,41260000,,4126,1251
1310,3002861,RES2,6.0,60881003,1.0,6088,12007
1335,2677991,RES2,6.0,60880305,0.0,6088,15633
1356,2974521,RES2,6.0,60882701,0.0,6088,3765
1376,1822141,RES11,9.0,60040107,0.0,6004,4642
1493,2463171,RES2,6.0,41260000,0.0,4126,565
1517,20401321,RES1,6.0,31060000,1.0,3106,2344
1557,2762401,RES1,6.0,60882703,0.0,6088,5080
1575,2946421,RES2,6.0,60881101,0.0,6088,161
1583,2835871,RES2,6.0,60880501,0.0,6088,3328
1586,2442101,RES2,6.0,41260000,0.0,4126,2032
1593,3105701,RES1,3.0,60882302,0.0,6088,83
1608,2779571,RES11,9.0,60882705,0.0,6088,2637
1616,81569071,RES1,6.0,33210101,1.0,3321,4301
1641,7958421,RES2,6.0,92640000,1.0,9264,4145
1646,7976601,RES1,6.0,92060000,0.0,9206,1957
1713,2574341,RES2,6.0,60882602,0.0,6088,1086
1718,20316951,RES1,6.0,32310000,1.0,3231,3067
1761,1528321,RES1,6.0,60290104,0.0,6029,385
1799,3140141,RES1,6.0,60882702,0.0,6088,4460
1835,1820781,RES2,6.0,60290120,0.0,6029,1593
1841,83472211,RES2,9.0,61380000,,6138,2421
1967,20164221,RES2,6.0,31900102,0.0,3190,12849
2006,2946141,RES2,6.0,60880101,0.0,6088,20001
2008,3111351,RES2,6.0,60881901,0.0,6088,17457
2077,1557691,RES1,6.0,60290103,0.0,6029,478
2082,15244791,RES2,6.0,10530302,1.0,1053,20634
2117,3043781,RES1,6.0,60880402,0.0,6088,2651
2125,2887941,RES1,6.0,60880301,0.0,6088,8658
2146,2614541,RES1,6.0,60881004,0.0,6088,5171
2160,20350831,RES11,12.0,33140000,1.0,3314,11116
2204,4515991,RES2,6.0,40940000,0.0,4094,1847
2253,8084431,RES1,3.0,92060000,1.0,9206,543
2419,2871382,RES11,9.0,61610105,0.0,6161,4043
2446,2857682,RES1,6.0,60880302,0.0,6088,134
